purchase_month,orders,revenue,avg_review_score,on_time_rate,avg_delivery_days,year,month_num
2016-09,1,134.97,1.0,0.0,54.0,2016,9
2016-10,265,40325.11,4.011450381679389,0.9886792452830189,19.135849056603774,2016,10
2016-12,1,10.9,5.0,1.0,4.0,2016,12
2017-01,750,111798.36,4.199055330634278,0.9693333333333334,12.092,2017,1
2017-02,1653,234223.4,4.202678027997566,0.9679370840895342,12.60617059891107,2017,2
2017-03,2546,359198.85,4.187376335575782,0.9442262372348782,12.395522388059701,2017,3
2017-04,2303,340669.68,4.137554585152839,0.921406860616587,14.35258358662614,2017,4
2017-05,3546,489338.25,4.238487777146106,0.9638928067700987,10.760507757404795,2017,5
2017-06,3135,421923.37,4.222918675666988,0.9614035087719298,11.50622009569378,2017,6
2017-07,3872,481604.52,4.258415755682805,0.965650826446281,11.131198347107437,2017,7
2017-08,4193,554699.7,4.3115246098439375,0.9668495110899118,10.700691628905318,2017,8
2017-09,4150,607399.67,4.267484215638659,0.9479518072289157,11.400722891566264,2017,9
2017-10,4478,648247.65,4.205240665766982,0.947074586869138,11.416927199642698,2017,10
2017-11,7289,987765.37,3.988878143133462,0.8568880351262349,14.699506037321624,2017,11
2017-12,5513,726033.1900000001,4.0895440395531955,0.9161980772719027,14.936695084346091,2017,12
2018-01,7069,924645.0,4.108726650506203,0.9343612957985571,13.6372895741972,2018,1
2018-02,6555,826437.13,3.881717125147277,0.8401220442410374,16.508619374523263,2018,2
2018-03,7003,953356.25,3.8132556131260795,0.7863772668856205,15.867485363415678,2018,3
2018-04,6798,973534.09,4.2062351895734595,0.9468961459252722,11.048543689320388,2018,4
2018-05,6749,977544.6900000001,4.236239214519488,0.9176174248036746,10.959105052600385,2018,5
2018-06,6099,856077.86,4.306995884773663,0.9863845144356955,8.774442257217848,2018,6
2018-07,6159,867953.46,4.318085280182976,0.9551656920077972,8.503736192332683,2018,7
2018-08,6351,838576.64,4.3103475513428124,0.8960793575814833,7.286411588726184,2018,8
