primary_category,total_orders,cancellation_rate,avg_installments,boleto_pct,high_inst_pct
Agro Industry And Commerce,182,0.0,3.3626373626373627,0.2802197802197802,0.2087912087912088
Air Conditioning,253,0.0,2.932806324110672,0.2134387351778656,0.1422924901185771
Art,201,0.0,2.1144278606965172,0.22388059701492538,0.03980099502487562
Arts And Craftmanship,23,0.0,1.7826086956521738,0.30434782608695654,0.08695652173913043
Audio,350,0.0,2.6885714285714286,0.2257142857142857,0.11714285714285715
Auto,3891,0.00025700334104343357,2.823438704703161,0.20123361603700848,0.11385248008224107
Baby,2870,0.0003484320557491289,2.949128919860627,0.17421602787456447,0.11672473867595819
Bed Bath Table,9385,0.0,3.596590303676079,0.17027171017581247,0.17581246670218434
Books General Interest,511,0.0,2.350293542074364,0.23483365949119372,0.07827788649706457
Books Imported,53,0.0,2.2452830188679247,0.22641509433962265,0.07547169811320754
Books Technical,260,0.0,2.080769230769231,0.24615384615384617,0.04230769230769231
Cds Dvds Musicals,12,0.0,2.8333333333333335,0.25,0.16666666666666666
Christmas Supplies,128,0.0,2.1484375,0.2265625,0.0546875
Cine Photo,65,0.0,2.4461538461538463,0.2923076923076923,0.046153846153846156
Computers,180,0.0,6.316666666666666,0.16111111111111112,0.45
Computers Accessories,6679,0.0,2.2166491989818837,0.25752358137445724,0.06483006438089535
Consoles Games,1060,0.0,2.647169811320755,0.21415094339622642,0.08867924528301886
Construction Tools Construction,743,0.0,3.4226110363391657,0.19380888290713325,0.18707940780619112
Construction Tools Lights,239,0.0,2.924686192468619,0.20502092050209206,0.11715481171548117
Construction Tools Safety,163,0.0,3.3435582822085887,0.2392638036809816,0.1901840490797546
Cool Stuff,3589,0.00027862914460852607,3.3466146558930063,0.1883533017553636,0.15547506269155753
Costruction Tools Garden,190,0.0,2.9368421052631577,0.19473684210526315,0.14736842105263157
Costruction Tools Tools,97,0.0,3.0412371134020617,0.21649484536082475,0.12371134020618557
Diapers And Hygiene,27,0.0,2.185185185185185,0.25925925925925924,0.037037037037037035
Drinks,295,0.0,1.7661016949152541,0.1694915254237288,0.03389830508474576
Dvds Blu Ray,58,0.0,1.9655172413793103,0.2413793103448276,0.05172413793103448
Electronics,2542,0.0003933910306845004,1.7466561762391817,0.23839496459480725,0.04917387883556255
Fashio Female Clothing,39,0.0,3.1025641025641026,0.28205128205128205,0.15384615384615385
Fashion Bags Accessories,1859,0.0,2.493813878429263,0.2087143625605164,0.064550833781603
Fashion Childrens Clothes,6,0.0,1.8333333333333333,0.3333333333333333,0.0
Fashion Male Clothing,112,0.0,2.732142857142857,0.16964285714285715,0.07142857142857142
Fashion Shoes,238,0.0,3.042016806722689,0.15126050420168066,0.10084033613445378
