installment_bucket,orders,cancelled,avg_value,avg_review_score,cancellation_rate
1x,48271,330,121.0363642013673,4.118296508029238,0.006836402809140063
2–3x,22792,114,136.09684494559494,4.085364235481445,0.005001755001755002
4–6x,16205,89,182.67805615550756,4.062244749880797,0.005492132058006788
7–12x,11988,75,335.93453036369704,3.9991999326259053,0.006256256256256257
13–24x,185,1,416.46745945945946,3.8516483516483517,0.005405405405405406
