payment_type,orders,revenue,cancelled,avg_installments,avg_value,cancellation_rate
boleto,19784,2391525.66,150,1.0,145.03443540234534,0.0075818843509907
credit_card,76132,10838035.52,440,3.5186912205117427,166.5656072348027,0.005779435716912731
debit_card,1527,183630.85,6,1.0,142.72415848068107,0.003929273084479371
voucher,1994,178316.7,13,1.1093279839518555,120.66110832497492,0.006519558676028084
