bucket,avg_score,order_count
On time,4.290607893334526,89451
1–3 days late,3.291036717062635,1852
4–7 days late,2.105549199084668,1748
8–14 days late,1.6715076071922546,1446
14+ days late,1.7258426966292135,1335
